#id	flamsteed	bayer	con 	ra	dec	mag
7662				200316.4	+183002	5.96
7663				200820.5	-662117	6.45
7664				200330.0	+160153	5.67
7665		Del	Pav	200843.6	-661055	3.56
7666				195841.9	+702201	6.33
7667	62		Aql	200423.2	-004234	5.68
7668				200532.1	-330000	6.53
7669	63	Tau	Aql	200408.3	+071641	5.52
7670				200337.4	+295348	5.71
7671				200505.4	-113558	6.34
7672	15		Sge	200406.2	+170412	5.80
7673		Xi	Tel	200723.2	-525251	4.94
7674				200735.1	-550059	6.26
7675	65		Sgr	200526.4	-123955	6.55
7676	64		Dra	200128.5	+644916	5.27
7677				200458.6	+231237	6.45
7678				200436.1	+321307	5.64
7679	16	Eta	Sge	200509.5	+195928	5.10
7680				200526.5	+153001	6.34
7681				200612.2	-040442	6.47
7682	65		Dra	200220.3	+643804	6.57
7683				200509.8	+382842	6.19
7684				200428.8	+481347	6.16
7685	67	Rho	Dra	200249.1	+675225	4.51
7686	69		Dra	195936.6	+762853	6.20
7687				200506.7	+515022	6.14
7688	17		Vul	200653.4	+233652	5.07
7689	27		Cyg	200621.8	+355821	5.36
7690	64		Aql	200801.8	-004042	5.99
7691				201107.2	-573126	6.37
7692				200521.5	+562029	6.21
7693				200750.3	+092359	6.43
7694				200831.3	-100346	6.18
7695				200444.6	+635326	6.26
7696				200806.5	+163951	6.42
7697				200613.8	+530957	5.85
7698				202454.4	-831838	6.17
7699				200741.4	+342523	6.11
7700				200838.3	+104333	6.31
7701	66		Dra	200532.8	+615944	5.39
7702				200711.5	+501345	6.54
7703				201111.9	-360604	5.32
7704				200453.3	+680138	6.28
7705	17	The	Sge	200956.6	+205455	6.48
7706				201223.9	-424650	6.22
7707				201426.9	-632457	6.09
7708	28		Cyg	200925.6	+365023	4.93
7709				201110.1	-085032	6.49
7710	65	The	Aql	201118.3	-004917	3.23
7711	18		Vul	201033.5	+265415	5.52
7712	1	Xi 1	Cap	201157.9	-122333	6.34
7713				201103.5	+210805	6.22
7714				201419.0	-522644	5.65
7715	2	Xi 2	Cap	201225.9	-123703	5.85
7716				201121.1	+215232	6.26
7717				201235.2	+005203	6.27
7718	19		Vul	201148.0	+264832	5.49
7719	20		Vul	201200.7	+262844	5.92
7720	66		Aql	201313.9	-010034	5.47
7721				201203.8	+474413	6.92
7722				201517.4	-270158	5.73
7723				201340.6	+241420	6.56
7724	67	Rho	Aql	201416.6	+151151	4.95
7725				201550.6	-300019	6.30
7726				201231.8	+512749	6.01
7727	68		Dra	201134.9	+620443	5.75
7728				201623.7	-362716	6.39
7729				201626.5	-351152	6.53
7730	30		Cyg	201318.0	+464857	4.83
7731	21		Vul	201414.5	+284141	5.18
7732				201903.0	-631352	6.27
7733				201342.8	+432245	6.14
7734				201405.0	+363619	6.45
7735	31		Cyg	201337.9	+464429	3.79
7736	29		Cyg	201432.0	+364823	4.97
7737				201421.6	+420613	6.71
7738	3		Cap	201622.8	-122013	6.32
7739				201515.9	+253531	4.78
7740	33		Cyg	201323.9	+563404	4.30
7741	22		Vul	201530.2	+233031	5.15
7742				201327.7	+603826	5.79
7743				201523.7	+334346	5.66
7744	23		Vul	201546.1	+274851	4.52
7745				201856.0	-474239	6.31
7746	18		Sge	201619.7	+213555	6.13
7747	5	Alp1	Cap	201738.9	-123030	4.24
7748	4		Cap	201801.4	-214836	5.87
7749				201917.9	-473449	6.13
7750	1	Kap	Cep	200853.3	+774241	4.39
7751	32		Cyg	201528.3	+474252	3.98
7752				201603.4	+385352	6.27
7753	24		Vul	201647.1	+244016	5.32
7754	6	Alp2	Cap	201803.3	-123241	3.57
7755				201543.4	+501358	6.31
7756				201600.6	+453446	5.91
7757				201628.2	+370323	6.48
7758				202032.3	-550303	6.27
7759				201655.3	+402154	5.24
7760				201731.5	+290853	6.22
7761	7	Sig	Cap	201923.6	-190707	5.28
7762				201729.1	+424319	6.29
7763	34		Cyg	201747.2	+380159	4.81
7764				202028.1	-291150	6.30
7765				202051.9	-354025	6.46
7766				202141.0	-495958	6.27
7767				201807.0	+404356	5.84
7768				201943.3	-010443	6.06
7769	36		Cyg	201828.6	+370000	5.58
7770	35		Cyg	201839.1	+345858	5.17
7771				201929.2	+131301	6.21
7772				202026.1	-062142	6.63
7773	8	Nu	Cap	202039.8	-124533	4.76
7774				202000.2	+133253	5.95
7775				202046.6	-144706	6.10
7776	9	Bet	Cap	202100.7	-144653	3.08
7777				201849.6	+461922	6.45
7778				202020.5	+143409	6.13
7779		Kap1	Sgr	202227.5	-420259	5.59
7780				202021.4	+174735	5.80
7781				201824.8	+552350	5.76
7782				201948.3	+370757	6.57
7783				201731.3	+665114	5.93
7784				202015.2	+392412	6.23
7785				203317.5	-805754	5.77
7786				201956.1	+465015	6.50
7787		Kap2	Sgr	202353.2	-422522	5.64
7788				202300.8	-093917	6.30
7789	25		Vul	202203.4	+242646	5.54
7790		Alp	Pav	202538.9	-564406	1.94
7791				202030.4	+533546	6.18
7792	71		Dra	201936.7	+621527	5.72
7793				202252.3	+143305	6.17
7794				202310.7	+052035	5.31
7795				202203.0	+410753	6.39
7796	37	Gam	Cyg	202213.7	+401524	2.20
7797				202237.4	+311554	6.09
7798				202205.4	+454742	5.58
7799				202547.9	-404747	6.09
7800				202245.3	+410134	5.93
7801				202526.8	-283948	5.85
7802				202255.5	+425900	6.20
7803				202437.5	+010407	6.15
7804				202006.0	+685249	5.55
7805				202111.4	+635849	5.69
7806	39		Cyg	202351.7	+321124	4.43
7807				202344.4	+372835	5.90
7808				202653.0	-372411	6.25
7809				202542.5	-024801	6.11
7810				202544.0	+100323	6.33
7811				202540.5	+212435	5.66
7812				203818.6	-811720	5.91
7813				202601.2	+195154	6.41
7814	10	Pi	Cap	202719.2	-181242	5.25
7815				202432.4	+533307	6.51
7816				202623.2	+171856	6.22
7817				202846.7	-353545	6.10
7818				202505.1	+593600	6.44
7819				202843.6	-154430	6.41
7820				202807.5	+082615	6.25
7821	68		Aql	202824.9	-032128	6.13
7822	11	Rho	Cap	202851.6	-174849	4.78
7823				202707.7	+341944	6.39
7824				202816.8	+025613	6.21
7825				202931.3	-222330	6.16
7826	40		Cyg	202734.3	+382625	5.62
7827				202623.5	+563820	6.36
7828	43		Cyg	202702.3	+492300	5.69
7829	12	Omi	Cap	202952.5	-183512	6.74
7830	12	Omi	Cap	202953.9	-183500	5.94
7831	69		Aql	202939.0	-025308	4.91
7832				203056.8	-290645	6.39
7833				202921.1	+200516	6.55
7834	41		Cyg	202923.7	+302207	4.01
7835	42		Cyg	202920.4	+362717	5.88
7836	1		Del	203018.0	+105345	6.08
7837				203104.3	-150323	6.12
7838				203551.7	-693640	6.11
7839				203058.1	+203621	6.18
7840				203113.0	+111538	7.11
7841				202959.9	+455543	6.41
7842				203252.4	-245638	6.36
7843				202927.1	+560405	5.91
7844	45	Ome1	Cyg	203003.5	+485706	4.95
7845				203223.7	-095112	5.65
7846		Nu	Mic	203355.1	-443058	5.11
7847	44		Cyg	203059.2	+365609	6.19
7848		Phi1	Pav	203534.8	-603454	4.76
7849				203158.2	+254816	6.34
7850	2	The	Cep	202934.9	+625939	4.22
7851	46	Ome2	Cyg	203118.8	+491313	5.44
7852	2	Eps	Del	203312.8	+111812	4.03
7853				203455.5	-380523	6.44
7854				203121.1	+521835	6.18
7855				203411.7	-134316	6.13
7856				203447.4	-302825	6.40
7857				203353.6	+100335	6.56
7858	3	Eta	Del	203357.0	+130138	5.38
7859		Rho	Pav	203735.3	-613148	4.88
7860				203146.5	+564648	6.14
7861				203252.3	+431130	6.60
7862				203410.0	+205907	6.48
7863		Mu 1	Oct	204202.9	-761050	6.00
7864		Mu 2	Oct	204143.7	-752102	6.55
7865				203532.2	-163133	6.19
7866	47		Cyg	203354.2	+351503	4.61
7867				203348.4	+414620	6.49
7868				203000.7	+723154	6.27
7869		Alp	Ind	203734.0	-471729	3.11
7870				203354.9	+464138	5.78
7871	4	Zet	Del	203518.5	+144027	4.68
7872				203951.4	-625428	6.22
7873	70		Aql	203643.6	-023300	4.89
7874	26		Vul	203608.3	+255257	6.41
7875		Phi2	Pav	204002.6	-603256	5.12
7876				203450.4	+515115	6.11
7877				203752.1	-250632	6.36
7878				203718.3	+000549	6.22
7879	73		Dra	203130.4	+745717	5.20
7880	27		Vul	203704.7	+262743	5.59
7881		Ups	Pav	204157.1	-664539	5.15
7882	6	Bet	Del	203733.0	+143543	3.63
7883	5	Iot	Del	203749.1	+112240	5.43
7884	71		Aql	203820.3	-010619	4.32
7885	48		Cyg	203731.8	+313421	6.32
7886				203754.6	+181609	6.25
7887				203732.6	+313119	6.49
7888				203723.6	+381943	6.20
7889	14	Tau	Cap	203916.4	-145717	5.22
7890				203913.2	-022446	6.22
7891	29		Vul	203831.3	+211204	4.82
7892	8	The	Del	203843.9	+131854	5.72
7893				204019.8	-332555	5.47
7894	28		Vul	203831.9	+240658	5.04
7895				203835.1	+234050	5.91
7896	7	Kap	Del	203907.8	+100510	5.05
7897	1		Aqr	203924.9	+002911	5.16
7898				204011.7	-234626	6.37
7899				203905.0	+155017	5.97
7900	15	Ups	Cap	204003.0	-180819	5.10
7901	75		Dra	202814.6	+812522	5.46
7902				204036.0	-263842	6.51
7903				203910.6	+214902	6.08
7904				203859.5	+302004	5.68
7905				204032.5	-160727	5.80
7906	9	Alp	Del	203938.3	+155443	3.77
7907				203951.8	+111459	6.42
7908	74		Dra	202927.5	+810529	5.96
7909				204123.7	-313554	5.76
7910				204124.1	-260000	6.28
7911				203933.3	+403446	6.06
7912				203923.1	+454001	6.58
7913		Bet	Pav	204457.5	-661211	3.42
7914				204045.2	+195607	6.45
7915				204253.0	-393331	6.29
7916				203900.2	+560018	6.48
7917				204036.2	+294819	6.08
7918	10		Del	204116.2	+143459	5.99
7919				204003.1	+432731	5.95
7920		Eta	Ind	204402.3	-515516	4.51
7921	49		Cyg	204102.6	+321826	5.51
7922				204100.4	+390456	6.51
7923				204158.2	+173117	6.22
7924	50	Alp	Cyg	204125.9	+451649	1.25
7925				204017.9	+603019	6.01
7926				204156.5	+414301	5.67
7927				204222.2	+352722	6.66
7928	11	Del	Del	204327.5	+150428	4.43
7929	51		Cyg	204212.6	+502024	5.39
7930				202903.1	+833732	6.19
7931				204513.2	-271450	6.50
7932				204324.2	+353516	6.47
7933				204620.1	-391157	5.50
7934		Sig	Pav	204918.1	-684635	5.41
7935				204618.6	-360713	6.49
7936	16	Psi	Cap	204605.7	-251615	4.14
7937	17		Cap	204610.0	-213051	5.93
7938				204239.7	+603605	6.15
7939	30		Vul	204452.5	+251614	4.91
7940				204313.5	+570651	6.32
7941				204528.2	+180525	6.38
7942	52		Cyg	204539.7	+304311	4.22
7943		Iot	Mic	204829.2	-435919	5.11
7944				204422.0	+562917	5.78
7945	4		Cep	204311.0	+663927	5.58
7946				204703.6	-022912	6.27
7947	12	Gam1	Del	204638.7	+160728	5.14
7948	12	Gam2	Del	204639.5	+160727	4.27
7949	53	Eps	Cyg	204612.7	+335813	2.46
7950	2	Eps	Aqr	204740.6	-092945	3.77
7951	3		Aqr	204744.2	-050140	4.42
7952		Zet	Ind	204929.0	-461337	4.89
7953	13		Del	204748.3	+060030	5.58
7954				204747.8	+031824	6.40
7955				204521.1	+573447	4.51
7956				204710.8	+342227	4.92
7957	3	Eta	Cep	204517.4	+615020	3.43
7958				204638.5	+463154	6.30
7959				205138.3	-622545	6.28
7960				205138.8	-622545	6.59
7961				204917.6	-254653	5.86
7962				204621.2	+525943	6.33
7963	54	Lam	Cyg	204724.5	+362927	4.53
7964				204920.5	-180209	6.21
7965		Alp	Mic	204958.1	-334647	4.90
7966				204720.8	+453447	6.40
7967				204433.1	+694507	6.41
7968		Iot	Ind	205130.1	-513630	5.05
7969				204749.3	+474955	5.57
7970				205047.1	-320316	6.36
7971				205100.7	-375448	5.52
7972				204752.8	+522426	6.27
7973	15		Del	204937.8	+123243	5.98
7974	14		Del	204948.3	+075151	6.33
7975				204959.1	+053241	6.21
7976				205041.8	-123242	5.88
7977	55		Cyg	204856.3	+460651	4.84
7978				204842.7	+515438	6.29
7979		Bet	Mic	205158.8	-331038	6.04
7980	18	Ome	Cap	205149.3	-265509	4.11
7981				205037.0	+180305	6.52
7982	4		Aqr	205125.7	-053735	5.99
7983				204954.7	+463940	6.33
7984	56		Cyg	205004.9	+440334	5.04
7985	5		Aqr	205208.7	-053025	5.55
7986		Bet	Ind	205448.6	-582715	3.65
7987				205340.2	-394836	5.35
7988				205128.2	+281502	5.77
7989				205301.2	-234659	6.33
7990	6	Mu	Aqr	205239.2	-085900	4.73
7991				205325.0	-304307	6.35
7992				205435.0	-504340	6.24
7993				204917.4	+640232	6.45
7994				205305.6	-113425	6.38
7995	31		Vul	205207.7	+270549	4.59
7996				205200.3	+325057	6.44
7997				205406.8	-275532	6.41
7998				205358.4	-065323	6.44
7999				205307.4	+293858	6.34
8000	19		Cap	205447.9	-175523	5.78
8001	57		Cyg	205314.8	+442314	4.78
8002	76		Dra	204235.2	+823152	5.75
8003				205318.6	+451055	5.45
8004				205326.4	+422437	6.66
8005				205353.9	+332616	5.47
8006				205508.1	-012224	6.55
8007				205422.4	+283119	6.56
8008	32		Vul	205433.6	+280327	5.01
8009				205422.3	+404211	6.70
8010				205540.7	+043158	6.05
8011	17		Del	205536.7	+134317	5.17
8012	16		Del	205538.6	+123407	5.58
8013				205647.3	-261747	5.70
8014				205618.3	-033341	6.57
8015	7		Aqr	205654.0	-094151	5.51
8016				204733.4	+803308	5.39
8017				205710.6	+002749	6.05
8018				205740.6	-160154	5.87
8019				210128.1	-681235	6.37
8020				205549.8	+472504	5.67
8021		Alp	Oct	210443.0	-770126	5.15
8022				205612.9	+510430	6.63
8023				205634.7	+445530	5.96
8024				205841.9	-142858	6.01
8025				205625.5	+504343	5.81
8026				205625.9	+491145	5.90
8027				210021.5	-511555	5.76
8028	58	Nu	Cyg	205710.4	+411002	3.94
8029				205617.0	+565315	6.23
8030	18		Del	205825.9	+105021	5.48
8031				205959.7	-360747	6.11
8032	33		Vul	205816.4	+221933	5.31
8033	20		Cap	205936.1	-190207	6.25
8034	1	Eps	Equ	205904.4	+041737	5.23
8035				205819.5	+442818	5.55
8036				205830.8	+415625	6.16
8037				205950.8	+164927	6.66
8038				210003.9	+073059	5.99
8039		Gam	Mic	210117.5	-321528	4.67
8040				205830.1	+502744	5.61
8041	11		Aqr	210033.8	-044349	6.21
8042				210212.6	-430007	6.64
8043				205444.3	+755532	6.05
8044				210027.7	+191946	5.65
8045				210145.3	-265252	6.05
8046				210227.2	-383150	5.94
8047	59		Cyg	205949.6	+473116	4.74
8048		Zet	Mic	210258.0	-383754	5.30
8049				205925.4	+592619	5.51
8050				210310.2	-274355	6.25
8051				210112.9	+360134	5.97
8052				210847.9	-761245	6.58
8053	60		Cyg	210110.9	+460921	5.37
8054				210259.6	-005529	6.50
8055		Mu	Ind	210514.2	-544338	5.16
8056				210303.0	+013155	6.25
8057				210301.8	+144348	6.31
8058	12		Aqr	210404.6	-054924	7.31
8059	12		Aqr	210404.7	-054923	5.89
8060	22	Eta	Cap	210424.3	-195118	4.84
8061				210922.3	-731023	5.68
8062				210224.1	+444728	6.19
8063				210304.8	+383927	6.07
8064				210248.5	+455056	6.48
8065				210209.1	+564011	5.83
8066	3		Equ	210434.7	+053010	5.61
8067				210441.7	+025631	6.42
8068				210445.4	+021611	6.33
8069		Eta	Mic	210625.5	-412310	5.53
8070		Del	Mic	210601.2	-300730	5.68
8071				210352.1	+413741	6.33
8072				210326.0	+502107	6.37
8073				210832.9	-635544	5.76
8074				210343.3	+465143	6.32
8075	23	The	Cap	210556.8	-171358	4.07
8076				210624.7	-322030	5.18
8077	4		Equ	210526.7	+055730	5.94
8078				210347.6	+531710	5.90
8079	62	Xi	Cyg	210455.9	+435540	3.72
8080	24		Cap	210707.7	-250021	4.50
8081				211120.7	-723239	6.20
8082				210623.5	+265528	6.12
8083				210744.6	-172719	6.17
8084				210630.3	+311105	5.82
8085	61		Cyg	210654.6	+384445	5.21
8086	61		Cyg	210655.3	+384436	6.03
8087	25	Chi	Cap	210833.6	-211137	5.30
8088				210733.6	+153931	6.34
8089	63		Cyg	210636.1	+473854	4.55
8090				210828.2	+065922	6.15
8091	27		Cap	210933.0	-203323	6.25
8092		Omi	Pav	211320.5	-700735	5.02
8093	13	Nu	Aqr	210935.7	-112218	4.51
8094				210838.9	+301221	5.59
8095				210958.3	+025636	6.45
8096				211046.9	-092114	6.27
8097	5	Gam	Equ	211020.5	+100754	4.69
8098	6		Equ	211031.2	+100256	6.07
8099				210623.3	+712555	5.87
8100				211213.6	-401610	5.83
8101				211032.0	+222717	6.68
8102				211141.3	-142820	6.48
8103				210958.6	+453009	6.63
8104				211303.1	-392531	5.26
8105				211103.9	+361757	6.54
8106				211015.6	+533348	5.73
8107				211031.0	+474131	6.46
8108				211318.9	-362526	5.96
8109				210928.9	+631744	6.54
8110				211317.3	-273710	5.42
8111				211816.1	-752048	6.63
8112				210529.3	+780735	5.91
8113				210932.0	+682925	7.33
8114				211545.9	-531547	5.75
8115	64	Zet	Cyg	211256.2	+301337	3.20
8116				211328.8	+155857	6.27
8117				211514.7	-403023	6.21
8118				211416.7	-103619	6.77
8119				211148.2	+595911	5.64
8120				211326.3	+363801	6.05
8121				211437.0	+000532	6.38
8122				211506.6	-172042	6.04
8123	7	Del	Equ	211428.9	+100025	4.49
8124				211546.8	-361239	6.12
8125				211800.3	-644054	6.31
8126				211410.3	+295404	6.17
8127	28	Phi	Cap	211537.9	-203906	5.24
8128	29		Cap	211544.9	-151017	5.28
8129				213204.2	-844836	6.45
8130	65	Tau	Cyg	211447.5	+380244	3.72
8131	8	Alp	Equ	211549.4	+051452	3.92
8132				211639.6	-013628	6.48
8133				211342.6	+642414	6.39
8134				211713.5	-131644	6.40
8135		Eps	Mic	211756.3	-321021	4.71
8136				211536.8	+475825	6.46
8137	30		Cap	211757.3	-175907	5.43
8138				211629.6	+421505	6.43
8139	31		Cap	211815.7	-172744	7.05
8140		The	Ind	211952.0	-532659	4.39
8141	15		Aqr	211811.1	-043110	5.82
8142				211854.4	-284556	6.40
8143	67	Sig	Cyg	211725.0	+392341	4.23
8144				211723.2	+424100	6.19
8145				212009.5	-450120	6.00
8146	66	Ups	Cyg	211755.1	+345349	4.43
8147				211702.0	+535951	6.13
8148				211945.8	-262111	6.56
8149				211852.0	+111212	5.96
8150				211714.3	+554753	5.98
8151		The1	Mic	212045.6	-404835	4.82
8152				212116.4	-495616	6.38
8153				211718.8	+583642	6.42
8154	68		Cyg	211827.2	+435645	5.00
8155				211855.3	+410227	6.15
8156				212416.7	-694403	6.41
8157				211922.2	+381415	5.83
8158				212014.0	+220135	6.29
8159				212518.1	-714758	6.09
8160	16		Aqr	212104.3	-043336	5.87
8161				211928.8	+493037	5.76
8162	5	Alp	Cep	211834.8	+623508	2.44
8163	9		Equ	212104.8	+072116	5.82
8164				211915.8	+583725	5.66
8165				212104.4	+235121	5.57
8166				212050.1	+322710	5.68
8167	32	Iot	Cap	212214.8	-165004	4.28
8168				211542.2	+770044	5.95
8169				212122.0	+323646	6.04
8170				212101.4	+402044	6.40
8171	6		Cep	211922.2	+645219	5.18
8172				212300.5	-224008	5.60
8173	1		Peg	212205.2	+194816	4.08
8174				211321.5	+811351	6.15
8175	17		Aqr	212256.3	-091910	5.99
8176				213354.4	-824059	6.38
8177				212420.8	-463654	6.31
8178	10	Bet	Equ	212253.6	+064840	5.16
8179				212033.5	+604525	6.11
8180		The2	Mic	212424.8	-410024	5.77
8181		Gam	Pav	212626.6	-652158	4.22
8182				212241.9	+301835	6.05
8183	33		Cap	212409.6	-205107	5.41
8184				212407.9	-224449	6.38
8185				212200.4	+492320	5.69
8186				212246.9	+383803	6.63
8187	18		Aqr	212411.5	-125241	5.49
8188		Gam	Ind	212615.4	-543938	6.12
8189				212323.0	+372424	6.58
8190				212358.8	+241627	5.71
8191				212424.6	+101027	6.35
8192	20		Aqr	212451.7	-032354	6.36
8193				212348.3	+372105	6.47
8194				212407.4	+251844	6.15
8195	19		Aqr	212513.1	-094455	5.70
8196				212844.9	-693019	5.34
8197				212423.1	+243144	6.32
8198				212434.0	+261028	5.68
8199	21		Aqr	212517.0	-033324	5.49
8200				212622.9	-374946	5.63
8201				213320.6	-800221	6.47
8202				212701.6	-423252	5.51
8203				212551.5	+003204	6.46
8204	34	Zet	Cap	212640.0	-222441	3.74
8205				212628.1	+010612	6.13
8206				212455.5	+491924	6.58
8207	35		Cap	212714.8	-211146	5.78
8208				212519.6	+464252	5.60
8209	69		Cyg	212547.0	+364003	5.94
8210				212626.7	+192232	6.07
8211				212900.3	-534221	6.39
8212				212813.9	-113406	6.61
8213	36		Cap	212843.4	-214826	4.51
8214	5		PsA	212903.8	-311419	6.50
8215	70		Cyg	212721.4	+370700	5.31
8216				212651.6	+485006	5.31
8217	35		Vul	212740.1	+273631	5.41
8218				212645.0	+525355	6.03
8219				212824.8	+081144	6.40
8220				212808.3	+321331	5.80
8221				212859.9	+175421	6.44
8222				212959.6	-190852	6.57
8223				212859.9	+221046	5.93
8224				212725.3	+594500	6.10
8225	2		Peg	212956.9	+233820	4.57
8226				212852.7	+552507	6.12
8227	7		Cep	212746.1	+664833	5.44
8228	71		Cyg	212927.0	+463226	5.24
8229		Xi	Gru	213205.9	-411045	5.29
8230	6		PsA	213214.6	-335641	5.97
8231				213109.6	+120815	6.08
8232	22	Bet	Aqr	213133.5	-053416	2.91
8233				213317.7	-524415	6.41
8234				213856.2	-792633	6.18
8235				213233.3	-243526	6.43
8236				213323.5	-445055	5.57
8237				213020.4	+525729	6.02
8238	8	Bet	Cep	212839.6	+703339	3.23
8239				212449.7	+803129	5.97
8240				213227.1	+232340	6.70
8241				213417.0	-425530	6.32
8242				213127.5	+523712	6.16
8243				213059.3	+602734	5.53
8244				213453.0	-294146	6.41
8245	37		Cap	213451.0	-200504	5.69
8246				213256.6	+495840	5.75
8247				213515.9	-232715	6.40
8248				213317.9	+455115	6.25
8249				213802.9	-644927	6.20
8250				213434.0	+224517	6.47
8251				213517.6	-035859	5.77
8252	73	Rho	Cyg	213358.9	+453531	4.02
8253	8		PsA	213611.0	-261017	5.73
8254		Nu	Oct	214128.5	-772324	3.76
8255	72		Cyg	213446.6	+383203	4.90
8256	7		PsA	213648.9	-330253	6.11
8257				213519.0	+281150	6.31
8258				213527.0	+242708	6.11
8259				213427.5	+514154	6.15
8260	39	Eps	Cap	213704.8	-192758	4.68
8261				213613.9	+300320	6.36
8262				213602.4	+452229	5.53
8263				213733.8	-002325	6.25
8264	23	Xi	Aqr	213745.1	-075115	4.69
8265	3		Peg	213743.7	+063706	6.18
8266	74		Cyg	213657.0	+402449	5.01
8267	5		Peg	213745.4	+191907	5.45
8268				213906.1	-334045	6.28
8269				213959.7	-522133	6.21
8270	4		Peg	213831.9	+054618	5.67
8271				214033.6	-554415	6.33
8272				213727.9	+444148	6.20
8273				213928.1	-103437	6.08
8274				213845.0	+252956	6.16
8275				213738.7	+540232	6.15
8276				213901.1	+201555	5.85
8277	25		Aqr	213933.3	+021437	5.10
8278	40	Gam	Cap	214005.5	-163944	3.68
8279	9		Cep	213755.2	+620455	4.73
8280		Lam	Oct	215054.3	-824309	5.29
8281				213857.6	+572921	5.62
8282				214146.1	-250607	6.49
8283	42		Cap	214132.9	-140251	5.18
8284	75		Cyg	214011.1	+431626	5.11
8285	41		Cap	214200.8	-231546	5.24
8286				214528.8	-710032	6.01
8287	26		Aqr	214210.1	+011707	5.67
8288	43	Kap	Cap	214239.5	-185159	4.73
8289	7		Peg	214215.5	+054048	5.30
8290				214043.3	+545220	6.20
8291	76		Cyg	214134.3	+404819	6.11
8292				214233.0	+104929	6.09
8293				214313.5	-193715	6.22
8294				224528.6	-884906	6.57
8295	44		Cap	214304.4	-142359	5.88
8296	NO	VA 1	876			
8297				214201.1	+353037	6.07
8298				214208.4	+454557	6.17
8299				214429.5	-383309	6.30
8300	77		Cyg	214222.9	+410438	5.69
8301	80	Pi 1	Cyg	214205.7	+511123	4.67
8302	45		Cap	214401.0	-144458	5.99
8303				214519.0	-492955	6.45
8304				214238.9	+493601	6.09
8305	9	Iot	PsA	214456.8	-330133	4.34
8306				214306.4	+410918	5.49
8307	79		Cyg	214325.7	+381702	5.65
8308	8	Eps	Peg	214411.2	+095230	2.39
8309	78	Mu 1	Cyg	214408.6	+284434	4.73
8310	78	Mu 2	Cyg	214408.3	+284435	6.08
8311	46		Cap	214500.3	-090457	5.09
8312				214245.4	+591616	6.08
8313	9		Peg	214430.7	+172100	4.34
8314				214431.3	+144619	5.94
8315	10	Kap	Peg	214438.7	+253842	4.13
8316		Mu	Cep	214330.4	+584648	4.08
8317	11		Cep	214155.3	+711841	4.56
8318	47		Cap	214616.3	-091633	6.00
8319	48	Lam	Cap	214632.1	-112157	5.58
8320				214544.5	+355126	6.40
8321	12		Peg	214604.4	+225656	5.29
8322	49	Del	Cap	214702.4	-160738	2.87
8323				214815.8	-471813	5.58
8324				214304.0	+721913	5.17
8325				214624.0	+253348	6.28
8326	10	The	PsA	214744.2	-305354	5.01
8327				214453.3	+622738	5.95
8328	11		Peg	214714.0	+024110	5.64
8329				214616.6	+430339	6.54
8330				214704.7	+171139	6.21
8331				215000.1	-644245	5.62
8332				214738.1	-055502	6.17
8333		Omi	Ind	215047.1	-693746	5.53
8334	10	Nu	Cep	214526.9	+610715	4.29
8335	81	Pi 2	Cyg	214647.6	+491834	4.23
8336				214808.3	+363450	6.47
8337				214941.1	-124323	6.31
8338				214829.4	+383855	6.12
8339	12		Cep	214725.3	+604134	5.52
8340				215013.1	-165041	6.38
8341				214926.9	+202745	6.29
8342				214701.0	+700903	6.29
8343	14		Peg	214950.7	+301027	5.04
8344	13		Peg	215008.7	+171708	5.29
8345				214940.1	+410856	6.48
8346				215141.8	-183723	6.16
8347				214919.0	+611622	6.17
8348				215134.2	+194936	5.77
8349				215104.9	+393212	6.17
8350				215218.2	+211623	6.89
8351	51	Mu	Cap	215317.8	-133306	5.08
8352				215511.5	-615311	5.90
8353		Gam	Gru	215355.7	-372154	3.01
8354	15		Peg	215229.9	+284736	5.53
8355				215336.0	-101842	6.59
8356	16		Peg	215303.8	+255530	5.08
8357				215201.0	+554749	5.71
8358				215337.4	+194006	5.68
8359				215357.8	+065152	6.15
8360				215410.4	-041634	5.71
8361				215137.3	+654510	6.37
8362		Pi	Ind	215614.0	-575358	6.19
8363				215435.9	-031804	6.20
8364				215417.4	+194306	6.39
8365				215555.6	-303623	6.41
8366				215622.8	-371513	5.46
8367				215702.2	-374449	6.18
8368		Del	Ind	215755.1	-545933	4.40
8369		Kap1	Ind	215830.1	-590044	6.12
8370				220152.1	-773945	6.41
8371	13		Cep	215453.2	+563641	5.80
8372				215624.0	+211423	6.40
8373	17		Peg	215656.4	+120435	5.54
8374				215520.7	+613231	6.13
8375				215531.1	+651915	5.86
8376				215813.3	-052529	6.33
8377				215702.2	+484007	6.42
8378				215843.8	-211058	6.12
8379				215917.9	-382343	5.50
8380				220303.8	-760707	5.95
8381				220024.1	-555258	6.01
8382				215855.0	-042223	6.22
8383				215639.1	+633732	4.91
8384				215711.1	+660922	6.43
8385	18		Peg	220007.9	+064303	6.00
8386	12	Eta	PsA	220050.2	-282713	5.42
8387		Eps	Ind	220321.6	-564710	4.69
8388				215853.4	+624154	5.93
8389				215923.0	+573930	6.59
8390	28		Aqr	220105.0	+003618	5.58
8391				220026.8	+330022	6.46
8392	20		Peg	220105.4	+130711	5.60
8393	19		Peg	220109.2	+081526	5.65
8394				220211.9	-175413	6.28
8395				215751.0	+745948	6.35
8396	29		Aqr	220226.6	-165751	6.37
8397				220201.4	+105826	6.37
8398				220317.2	-295415	7.10
